ATP,B365L,B365W,Best of,CBL,CBW,Comment,Court,Date,EXL,EXW,IWL,IWW,L1,L2,L3,L4,L5,LPts,LRank,Location,Loser,Lsets,PSL,PSW,Round,Series,Surface,Tournament,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,W1,W2,W3,W4,W5,WPts,WRank,Winner,Wsets
1.0,3.25,1.286,3.0,3.7,1.25,Completed,Outdoor,1/3/05,3.35,1.3,2.7,1.3,2.0,6,,,,,324.0,Adelaide,Baccanello P.,0.0,3.78,1.305,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,7,,,,,53.0,Saulnier C.,2.0
1.0,1.833,1.833,3.0,1.9,1.85,Completed,Outdoor,1/3/05,1.95,1.8,1.75,1.75,3.0,1,,,,,82.0,Adelaide,Sluiter R.,0.0,1.84,1.99,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,6,,,,,72.0,Enqvist T.,2.0
1.0,1.909,1.8,3.0,2.0,1.75,Completed,Outdoor,1/3/05,1.85,1.9,1.65,1.85,4.0,6,6,,,,45.0,Adelaide,Berdych T.,1.0,1.917,1.901,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,4,7,,,,39.0,Melzer J.,2.0
1.0,2.1,1.667,3.0,2.3,1.58,Completed,Outdoor,1/3/05,2.25,1.6,2.0,1.55,3.0,6,1,,,,79.0,Adelaide,Dupuis A.,1.0,2.41,1.621,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,3,6,,,,66.0,Rochus O.,2.0
1.0,2.2,1.615,3.0,2.0,1.75,Completed,Outdoor,1/3/05,1.95,1.8,2.0,1.55,4.0,6,5,,,,101.0,Adelaide,Arthurs W.,1.0,2.07,1.787,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,3,7,,,,35.0,Mayer F.,2.0
1.0,3.0,1.333,3.0,3.0,1.36,Retired,Outdoor,1/3/05,2.53,1.48,2.3,1.4,2.0,1,,,,,57.0,Adelaide,Schalken S.,0.0,3.1,1.408,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,2,,,,,21.0,Kiefer N.,1.0
1.0,2.5,1.5,3.0,2.35,1.57,Completed,Outdoor,1/4/05,2.6,1.45,2.2,1.45,2.0,6,,,,,68.0,Adelaide,Martin A.,0.0,2.54,1.575,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,7,,,,,48.0,Malisse X.,2.0
1.0,2.375,1.533,3.0,2.6,1.48,Completed,Outdoor,1/4/05,2.25,1.6,1.9,1.6,3.0,4,,,,,76.0,Adelaide,Starace P.,0.0,2.62,1.549,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,6,,,,,65.0,Benneteau J.,2.0
1.0,2.75,1.4,3.0,2.85,1.4,Completed,Outdoor,1/4/05,2.85,1.4,2.5,1.35,3.0,4,,,,,88.0,Adelaide,Kohlschreiber P.,0.0,3.0,1.435,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,6,,,,,33.0,Stepanek R.,2.0
1.0,2.1,1.667,3.0,2.1,1.7,Completed,Outdoor,1/4/05,2.0,1.75,1.9,1.6,1.0,6,2,,,,63.0,Adelaide,Ginepri R.,1.0,2.19,1.719,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,2,6,,,,32.0,Dent T.,2.0
1.0,7.5,1.06,3.0,,,Completed,Outdoor,1/4/05,9.25,1.04,5.0,1.05,2.0,4,,,,,309.0,Adelaide,Kimmich M.,0.0,11.75,1.069,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,6,,,,,11.0,Johansson J.,2.0
1.0,1.8,1.909,3.0,1.88,1.88,Completed,Outdoor,1/4/05,1.8,1.95,1.7,1.8,4.0,6,6,,,,77.0,Adelaide,Nieminen J.,1.0,1.877,1.943,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,3,7,,,,58.0,Calleri A.,2.0
1.0,2.375,1.533,3.0,2.25,1.6,Completed,Outdoor,1/4/05,2.1,1.7,2.1,1.5,4.0,6,,,,,220.0,Adelaide,de Chaunac S.,0.0,2.26,1.685,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,7,,,,,132.0,Lisnard J.R.,2.0
1.0,2.2,1.615,3.0,2.35,1.56,Completed,Outdoor,1/4/05,2.35,1.55,2.1,1.5,1.0,1,,,,,75.0,Adelaide,Sargsian S.,0.0,2.4,1.625,1st Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,6,,,,,26.0,Chela J.I.,2.0
1.0,5.0,1.143,3.0,7.25,1.07,Completed,Outdoor,1/4/05,5.5,1.13,3.8,1.15,6.0,1,1,,,,106.0,Adelaide,Clement A.,1.0,7.8,1.111,1st Round,International,Hard,Next Generation Hardcourts,,,,,,2.0,6,6,,,,3.0,Hewitt L.,2.0
1.0,1.833,1.833,3.0,1.88,1.88,Completed,Outdoor,1/4/05,1.75,2.0,1.75,1.75,6.0,5,2,,,,126.0,Adelaide,Reid T.,1.0,1.917,1.901,1st Round,International,Hard,Next Generation Hardcourts,,,,,,3.0,7,6,,,,173.0,Delic A.,2.0
1.0,1.83,1.83,3.0,2.0,1.77,Completed,Outdoor,1/5/05,2.12,1.67,1.75,1.75,3.0,3,,,,,35.0,Adelaide,Mayer F.,0.0,1.99,1.84,2nd Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,6,,,,,72.0,Enqvist T.,2.0
1.0,2.37,1.53,3.0,2.4,1.55,Completed,Outdoor,1/5/05,2.6,1.45,2.5,1.35,4.0,3,,,,,53.0,Adelaide,Saulnier C.,0.0,2.51,1.585,2nd Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,6,,,,,21.0,Kiefer N.,2.0
1.0,1.571,2.25,3.0,1.6,2.3,Completed,Outdoor,1/5/05,1.65,2.15,1.55,2.0,0.0,3,,,,,33.0,Adelaide,Stepanek R.,0.0,1.641,2.36,2nd Round,International,Hard,Next Generation Hardcourts,,,,,,6.0,6,,,,,66.0,Rochus O.,2.0
