ATP,B365L,B365W,Best of,CBL,CBW,Comment,Court,Date,EXL,EXW,L1,L2,L3,L4,L5,LPts,LRank,Location,Loser,Lsets,PSL,PSW,Round,Series,Surface,Tournament,UBL,UBW,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,W1,W2,W3,W4,W5,WPts,WRank,Winner,Wsets
1.0,2.75,1.39,3.0,2.85,1.4,Completed,Outdoor,1/2/06,3.1,1.35,4.0,7,4,,,692.0,51.0,Adelaide,Calleri A.,1,3.04,1.446,1st Round,International,Hard,Next Generation Adelaide International,2.94,1.38,,,,,,6.0,6,6,,,1200.0,24.0,Berdych T.,2.0
1.0,2.37,1.53,3.0,2.15,1.67,Completed,Outdoor,1/2/06,2.25,1.6,4.0,3,,,,265.0,156.0,Adelaide,Guccione C.,0,2.29,1.719,1st Round,International,Hard,Next Generation Adelaide International,2.34,1.57,,,,,,6.0,6,,,,470.0,86.0,Kohlschreiber P.,2.0
1.0,3.25,1.28,3.0,3.4,1.3,Completed,Outdoor,1/2/06,3.35,1.3,6.0,3,,,,286.0,146.0,Adelaide,Luczak P.,0,3.36,1.391,1st Round,International,Hard,Next Generation Adelaide International,3.2,1.33,,,,,,7.0,6,,,,731.0,47.0,Malisse X.,2.0
1.0,2.37,1.53,3.0,2.3,1.6,Completed,Outdoor,1/2/06,2.5,1.5,5.0,4,,,,690.0,52.0,Adelaide,Melzer J.,0,2.55,1.606,1st Round,International,Hard,Next Generation Adelaide International,2.36,1.56,,,,,,7.0,6,,,,1490.0,19.0,Robredo T.,2.0
1.0,2.62,1.44,3.0,2.55,1.5,Completed,Outdoor,1/2/06,2.75,1.42,0.0,2,,,,558.0,69.0,Adelaide,Clement A.,0,2.72,1.549,1st Round,International,Hard,Next Generation Adelaide International,2.42,1.53,,,,,,6.0,6,,,,1360.0,21.0,Ancic M.,2.0
1.0,2.5,1.5,3.0,2.3,1.6,Completed,Outdoor,1/3/06,2.53,1.48,2.0,4,,,,477.0,85.0,Adelaide,Monaco J.,0,2.55,1.606,1st Round,International,Hard,Next Generation Adelaide International,2.34,1.57,,,,,,6.0,6,,,,519.0,72.0,Mayer F.,2.0
1.0,2.75,1.4,3.0,2.55,1.5,Completed,Outdoor,1/3/06,2.4,1.53,4.0,4,,,,498.0,82.0,Adelaide,Pashanski B.,0,2.77,1.524,1st Round,International,Hard,Next Generation Adelaide International,,,,,,,,6.0,6,,,,562.0,68.0,Seppi A.,2.0
1.0,1.83,1.83,3.0,2.0,1.77,Completed,Outdoor,1/3/06,1.95,1.8,4.0,6,4,,,515.0,75.0,Adelaide,Spadea V.,1,2.04,1.877,1st Round,International,Hard,Next Generation Adelaide International,2.0,1.77,,,,,,6.0,3,6,,,228.0,172.0,Philippoussis M.,2.0
1.0,1.8,1.9,3.0,1.77,2.0,Completed,Outdoor,1/3/06,1.75,2.05,3.0,6,1,,,815.0,39.0,Adelaide,Chela J.I.,1,1.763,2.21,1st Round,International,Hard,Next Generation Adelaide International,1.8,1.96,,,,,,6.0,3,6,,,550.0,70.0,Karlovic I.,2.0
1.0,5.5,1.12,3.0,5.0,1.16,Completed,Outdoor,1/3/06,5.5,1.13,3.0,3,,,,711.0,50.0,Adelaide,Martin A.,0,6.55,1.163,1st Round,International,Hard,Next Generation Adelaide International,4.95,1.16,,,,,,6.0,6,,,,1230.0,23.0,Blake J.,2.0
1.0,2.1,1.66,3.0,2.0,1.77,Completed,Outdoor,1/3/06,1.95,1.8,2.0,6,,,,738.0,46.0,Adelaide,Mathieu P.H.,0,2.21,1.763,1st Round,International,Hard,Next Generation Adelaide International,2.0,1.77,,,,,,6.0,7,,,,1045.0,28.0,Nieminen J.,2.0
1.0,1.61,2.2,3.0,1.65,2.2,Retired,Outdoor,1/3/06,1.53,2.4,6.0,1,,,,303.0,137.0,Adelaide,Llodra M.,1,1.714,2.3,1st Round,International,Hard,Next Generation Adelaide International,,,,,,,,3.0,3,,,,712.0,49.0,Serra F.,0.0
1.0,6.5,1.08,3.0,7.5,1.08,Completed,Outdoor,1/3/06,5.5,1.13,6.0,0,2,,,138.0,252.0,Adelaide,Lorenzi P.,1,8.75,1.111,1st Round,International,Hard,Next Generation Adelaide International,6.5,1.11,,,,,,3.0,6,6,,,571.0,64.0,Murray A.,2.0
1.0,1.72,2.0,3.0,1.6,2.3,Completed,Outdoor,1/3/06,1.65,2.15,7.0,5,3,,,233.0,167.0,Adelaide,Carraz G.,1,1.763,2.21,1st Round,International,Hard,Next Generation Adelaide International,1.67,2.15,,,,,,5.0,7,6,,,565.0,66.0,Carlsen K.,2.0
1.0,6.5,1.08,3.0,7.5,1.08,Completed,Outdoor,1/3/06,7.79,1.06,6.0,2,4,,,515.0,74.0,Adelaide,Hernych J.,1,9.0,1.1,1st Round,International,Hard,Next Generation Adelaide International,5.8,1.12,,,,,,4.0,6,6,,,2490.0,4.0,Hewitt L.,2.0
1.0,8.0,1.05,3.0,9.0,1.05,Completed,Outdoor,1/3/06,,,3.0,5,,,,67.0,413.0,Adelaide,Junaid R.,0,10.98,1.083,1st Round,International,Hard,Next Generation Adelaide International,,,,,,,,6.0,7,,,,1490.0,18.0,Hrbaty D.,2.0
1.0,1.28,3.5,3.0,1.3,3.4,Completed,Outdoor,1/4/06,1.2,4.25,6.0,6,3,,,1490.0,19.0,Adelaide,Robredo T.,1,1.291,4.14,2nd Round,International,Hard,Next Generation Adelaide International,1.25,3.75,,,,,,7.0,3,6,,,712.0,49.0,Serra F.,2.0
1.0,1.53,2.37,3.0,1.55,2.4,Completed,Outdoor,1/4/06,1.55,2.35,6.0,3,6,,,1360.0,21.0,Adelaide,Ancic M.,1,1.546,2.73,2nd Round,International,Hard,Next Generation Adelaide International,1.61,2.25,,,,,,3.0,6,7,,,731.0,47.0,Malisse X.,2.0
